soru,cevap,dönem
"1299 yılında Osmanlı Beyliği nerede bağımsızlığını ilan etti?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.",kuruluş
"Osman Gazi devletini ne zaman ve nerede kurdu?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.",kuruluş
"Osmanlı Devleti'nin kuruluş yılı ve yeri nedir?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.",kuruluş
"Kuruluş tarihi ve yeri hakkında bilgi verir misin?","1299 yılında Osmanlı Beyliği Söğüt'te Osman Gazi tarafından bağımsızlığını ilan etti.",kuruluş
"1300 yılında hangi kaleler fethedildi?","1300 yılında Yundhisar, Köprühisar ve Yenişehir kaleleri fethedildi.",kuruluş
"Yundhisar, Köprühisar ve Yenişehir ne zaman Osmanlı toprağı oldu?","1300 yılında Yundhisar, Köprühisar ve Yenişehir kaleleri fethedildi.",kuruluş
"1300 yılında hangi fetihler gerçekleşti?","1300 yılında Yundhisar, Köprühisar ve Yenişehir kaleleri fethedildi.",kuruluş
"1300 yılındaki fetihler hakkında bilgi verir misin?","1300 yılında Yundhisar, Köprühisar ve Yenişehir kaleleri fethedildi.",kuruluş
"Osmanlıların ilk başkenti neresi oldu ve hangi yılda?","1300 yılında Yenişehir başkent yapıldı.",kuruluş
"Yenişehir hangi tarihte başkent oldu?","1300 yılında Yenişehir başkent yapıldı.",kuruluş
"Osmanlı Devleti'nin ilk başkenti neresidir?","1300 yılında Yenişehir başkent yapıldı.",kuruluş
"Yenişehir'in başkent oluşu hakkında bilgi verir misin?","1300 yılında Yenişehir başkent yapıldı.",kuruluş
"İlk Bizans-Osmanlı savaşı hangisidir ve sonucu ne olmuştur?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.",kuruluş
"Osman Gazi Bizans'a karşı ilk büyük zaferini hangi savaşta kazandı?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.",kuruluş
"Koyunhisar Muharebesi ne zaman yapıldı ve kim kazandı?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.",kuruluş
"Bizans-Osmanlı savaşlarının ilki hakkında bilgi verir misin?","1302 yılındaki Koyunhisar (Bafeus) Muharebesi'nde Osman Gazi Bizans'ı mağlup etti.",kuruluş
"Osmanlılar İznik'i hangi yılda kuşattı ve hangi kaleyi fethetti?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.",kuruluş
"1303 yılında Osmanlılar hangi iki önemli harekâtı gerçekleştirdi?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.",kuruluş
"İznik kuşatması ve Marmaracık fethi ne zaman oldu?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.",kuruluş
"1303 yılındaki askeri faaliyetler hakkında bilgi verir misin?","1303 yılında İznik kuşatıldı ve Marmaracık Kalesi fethedildi.",kuruluş
"1304 yılında hangi yerler Osmanlı topraklarına katıldı?","1304 yılında Akhisar, Mekece ve Geyve ele geçirildi.",kuruluş
"Akhisar, Mekece ve Geyve ne zaman Osmanlı egemenliğine girdi?","1304 yılında Akhisar, Mekece ve Geyve ele geçirildi.",kuruluş
"1304 yılındaki fetihler nelerdir?","1304 yılında Akhisar, Mekece ve Geyve ele geçirildi.",kuruluş
"1304 yılındaki toprak kazanımları hakkında bilgi verir misin?","1304 yılında Akhisar, Mekece ve Geyve ele geçirildi.",kuruluş
"Dimbos zaferi sonucunda hangi kaleler fethedildi?","1306 yılında Dimbos zaferi sonucunda Kestel, Kete ve Ulubad kaleleri fethedildi.",kuruluş
"Kestel, Kete ve Ulubad kaleleri hangi savaştan sonra Osmanlılara geçti?","1306 yılında Dimbos zaferi sonucunda Kestel, Kete ve Ulubad kaleleri fethedildi.",kuruluş
"Dimbos Muharebesi ne zaman kazanıldı ve sonuçları nelerdi?","1306 yılında Dimbos zaferi sonucunda Kestel, Kete ve Ulubad kaleleri fethedildi.",kuruluş
"Dimbos zaferi hakkında bilgi verir misin?","1306 yılında Dimbos zaferi sonucunda Kestel, Kete ve Ulubad kaleleri fethedildi.",kuruluş
"Osmanlıların yaptığı ilk askeri antlaşma hangi yılda yapıldı?","1306 yılında ilk askeri antlaşma yapıldı.",kuruluş
"İlk askeri antlaşma ne zaman imzalandı?","1306 yılında ilk askeri antlaşma yapıldı.",kuruluş
"Osmanlı tarihindeki ilk askeri antlaşma hakkında bilgi verir misin?","1306 yılında ilk askeri antlaşma yapıldı.",kuruluş
"Hangi yıl Osmanlılar ilk askeri antlaşmayı yaptı?","1306 yılında ilk askeri antlaşma yapıldı.",kuruluş
"1307 yılında Osmanlılar hangi iki faaliyeti gerçekleştirdi?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.",kuruluş
"İznik'in sıkıştırılması ve Yalova akını ne zaman oldu?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.",kuruluş
"1307 yılındaki askeri hareketler nelerdir?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.",kuruluş
"1307 yılında ne yapıldı?","1307 yılında İznik sıkıştırıldı ve Yalova akını düzenlendi.",kuruluş
"Ulubat gölü üzerindeki Alyos adası nasıl ve ne zaman Osmanlı toprağı oldu?","1308 yılında Ulubat gölü üzerindeki Alyos adası, Aygut Alp'in oğlu Kara Ali tarafından barış yoluyla teslim alındı.",kuruluş
"Alyos adasını kim teslim aldı ve hangi yılda?","1308 yılında Ulubat gölü üzerindeki Alyos adası, Aygut Alp'in oğlu Kara Ali tarafından barış yoluyla teslim alındı.",kuruluş
